zip_code,year,quarter,foreclosure_notices
20608,2025,2,8
20608,2025,3,8
20608,2025,4,12
20608,2026,1,5
20609,2022,3,1
20609,2022,4,0
20609,2023,1,0
20609,2023,2,0
20609,2023,3,2
20609,2023,4,2
20609,2024,1,4
20609,2024,2,7
20609,2024,3,5
20609,2024,4,7
20609,2025,1,6
20609,2025,2,8
20609,2025,3,6
20609,2025,4,5
20609,2026,1,3
20611,2022,3,5
20611,2022,4,3
20611,2023,1,2
20611,2023,2,4
20611,2023,3,5
20611,2023,4,5
20611,2024,1,0
20611,2024,2,3
20611,2024,3,1
20611,2024,4,4
20611,2025,1,7
20611,2025,2,6
20611,2025,3,4
20611,2025,4,7
20611,2026,1,3
20612,2022,3,1
20612,2022,4,1
20612,2023,1,1
20612,2023,2,0
20612,2023,3,4
20612,2023,4,0
20612,2024,1,2
20612,2024,2,4
20612,2024,3,0
20612,2024,4,0
20612,2025,1,0
20612,2025,2,0
20612,2025,3,1
20612,2025,4,1
20612,2026,1,0
20613,2022,3,114
20613,2022,4,114
20613,2023,1,121
20613,2023,2,108
20613,2023,3,153
20613,2023,4,137
20613,2024,1,154
20613,2024,2,126
20613,2024,3,140
20613,2024,4,159
20613,2025,1,188
20613,2025,2,171
20613,2025,3,204
20613,2025,4,243
20613,2026,1,169
20615,2022,3,0
20615,2022,4,1
20615,2023,1,4
20615,2023,2,1
20615,2023,3,0
20615,2023,4,1
20615,2024,1,0
20615,2024,2,1
20615,2024,3,0
20615,2024,4,0
20615,2025,1,1
20615,2025,2,0
20615,2025,3,1
20615,2025,4,0
20615,2026,1,1
20616,2022,3,68
20616,2022,4,49
20616,2023,1,70
20616,2023,2,58
20616,2023,3,72
20616,2023,4,70
20616,2024,1,73
20616,2024,2,77
20616,2024,3,75
20616,2024,4,91
20616,2025,1,80
20616,2025,2,77
20616,2025,3,100
20616,2025,4,97
20616,2026,1,72
20617,2022,3,1
20617,2022,4,1
20617,2023,1,1
20617,2023,2,0
20617,2023,3,0
20617,2023,4,3
20617,2024,1,1
20617,2024,2,0
20617,2024,3,1
20617,2024,4,2
20617,2025,1,1
20617,2025,2,1
20617,2025,3,1
20617,2025,4,5
20617,2026,1,4
20618,2022,3,11
20618,2022,4,5
20618,2023,1,3
20618,2023,2,0
20618,2023,3,3
20618,2023,4,1
20618,2024,1,2
20618,2024,2,3
20618,2024,3,6
20618,2024,4,11
20618,2025,1,10
20618,2025,2,4
20618,2025,3,5
20618,2025,4,10
20618,2026,1,21
20619,2022,3,27
20619,2022,4,36
20619,2023,1,45
20619,2023,2,32
20619,2023,3,34
20619,2023,4,47
20619,2024,1,38
20619,2024,2,33
20619,2024,3,41
20619,2024,4,39
20619,2025,1,55
20619,2025,2,50
20619,2025,3,41
20619,2025,4,71
20619,2026,1,38
20620,2022,3,4
20620,2022,4,3
20620,2023,1,6
20620,2023,2,3
20620,2023,3,4
20620,2023,4,5
20620,2024,1,7
20620,2024,2,3
20620,2024,3,2
20620,2024,4,1
20620,2025,1,5
20620,2025,2,3
20620,2025,3,4
20620,2025,4,4
20620,2026,1,4
20621,2022,3,6
20621,2022,4,5
20621,2023,1,5
20621,2023,2,0
20621,2023,3,3
20621,2023,4,2
20621,2024,1,5
20621,2024,2,5
20621,2024,3,4
20621,2024,4,5
20621,2025,1,5
20621,2025,2,9
20621,2025,3,7
20621,2025,4,7
20621,2026,1,4
20622,2022,3,8
20622,2022,4,9
20622,2023,1,12
20622,2023,2,11
20622,2023,3,8
20622,2023,4,9
20622,2024,1,5
20622,2024,2,12
20622,2024,3,20
20622,2024,4,13
20622,2025,1,22
20622,2025,2,13
20622,2025,3,15
20622,2025,4,14
20622,2026,1,11
20623,2022,3,22
20623,2022,4,22
20623,2023,1,15
20623,2023,2,18
20623,2023,3,16
20623,2023,4,17
20623,2024,1,25
20623,2024,2,23
20623,2024,3,22
20623,2024,4,29
20623,2025,1,20
20623,2025,2,13
20623,2025,3,27
20623,2025,4,27
20623,2026,1,30
20624,2022,3,0
20624,2022,4,0
20624,2023,1,0
20624,2023,2,0
20624,2023,3,0
20624,2023,4,0
20624,2024,1,1
20624,2024,2,2
20624,2024,3,8
20624,2024,4,2
20624,2025,1,2
20624,2025,2,6
20624,2025,3,4
20624,2025,4,3
20624,2026,1,2
20625,2022,3,2
20625,2022,4,4
20625,2023,1,3
20625,2023,2,1
20625,2023,3,4
20625,2023,4,1
20625,2024,1,4
20625,2024,2,4
20625,2024,3,4
20625,2024,4,2
20625,2025,1,4
20625,2025,2,2
20625,2025,3,4
20625,2025,4,4
20625,2026,1,3
20626,2022,3,0
20626,2022,4,0
20626,2023,1,0
20626,2023,2,1
20626,2023,3,1
20626,2023,4,2
20626,2024,1,0
20626,2024,2,1
20626,2024,3,1
20626,2024,4,1
20626,2025,1,3
20626,2025,2,3
20626,2025,3,3
20626,2025,4,4
20626,2026,1,1
20628,2022,3,1
20628,2022,4,0
20628,2023,1,0
20628,2023,2,0
20628,2023,3,0
20628,2023,4,0
20628,2024,1,0
20628,2024,2,0
20628,2024,3,0
20628,2024,4,1
20628,2025,1,1
20628,2025,2,1
20628,2025,3,1
20628,2025,4,2
20628,2026,1,0
20629,2022,3,1
20629,2022,4,0
20629,2023,1,1
20629,2023,2,1
20629,2023,3,1
20629,2023,4,1
20629,2024,1,0
20629,2024,2,0
20629,2024,3,0
20629,2024,4,0
20629,2025,1,0
20629,2025,2,0
20629,2025,3,0
20629,2025,4,0
20629,2026,1,0
20630,2022,3,1
20630,2022,4,0
20630,2023,1,1
20630,2023,2,1
20630,2023,3,0
20630,2023,4,1
20630,2024,1,2
20630,2024,2,0
20630,2024,3,0
20630,2024,4,1
20630,2025,1,0
20630,2025,2,0
20630,2025,3,1
20630,2025,4,1
20630,2026,1,0
20632,2022,3,0
20632,2022,4,1
20632,2023,1,1
20632,2023,2,0
20632,2023,3,0
20632,2023,4,1
20632,2024,1,1
20632,2024,2,0
20632,2024,3,0
20632,2024,4,0
20632,2025,1,0
20632,2025,2,0
20632,2025,3,1
20632,2025,4,0
20632,2026,1,0
20634,2022,3,24
20634,2022,4,28
20634,2023,1,31
20634,2023,2,28
20634,2023,3,34
20634,2023,4,31
20634,2024,1,35
20634,2024,2,31
20634,2024,3,27
20634,2024,4,27
20634,2025,1,44
20634,2025,2,38
20634,2025,3,39
20634,2025,4,47
20634,2026,1,28
20635,2022,3,0
20635,2022,4,0
20635,2023,1,1
20635,2023,2,0
20635,2023,3,0
20635,2023,4,0
20635,2024,1,0
20635,2024,2,0
20635,2024,3,0
20635,2024,4,0
20635,2025,1,0
20635,2025,2,0
20635,2025,3,0
20635,2025,4,0
20635,2026,1,0
20636,2022,3,13
20636,2022,4,11
20636,2023,1,18
20636,2023,2,4
20636,2023,3,18
20636,2023,4,19
20636,2024,1,20
20636,2024,2,17
20636,2024,3,14
20636,2024,4,15
20636,2025,1,16
20636,2025,2,19
20636,2025,3,25
20636,2025,4,22
20636,2026,1,19
20637,2022,3,19
20637,2022,4,19
20637,2023,1,20
20637,2023,2,27
20637,2023,3,30
20637,2023,4,28
20637,2024,1,26
20637,2024,2,26
20637,2024,3,27
20637,2024,4,23
20637,2025,1,31
20637,2025,2,34
20637,2025,3,33
20637,2025,4,40
20637,2026,1,30
20639,2022,3,34
20639,2022,4,31
20639,2023,1,35
20639,2023,2,35
20639,2023,3,36
20639,2023,4,30
20639,2024,1,37
20639,2024,2,47
20639,2024,3,27
20639,2024,4,42
20639,2025,1,44
20639,2025,2,50
20639,2025,3,63
20639,2025,4,63
20639,2026,1,43
20640,2022,3,65
20640,2022,4,90
20640,2023,1,71
20640,2023,2,68
20640,2023,3,83
20640,2023,4,80
20640,2024,1,76
20640,2024,2,78
20640,2024,3,95
20640,2024,4,109
20640,2025,1,85
20640,2025,2,93
20640,2025,3,93
20640,2025,4,103
20640,2026,1,71
20644,2022,3,0
20644,2022,4,0
20644,2023,1,0
20644,2023,2,0
20644,2023,3,0
20644,2023,4,0
20644,2024,1,0
20644,2024,2,0
20644,2024,3,0
20644,2024,4,0
20644,2025,1,0
20644,2025,2,0
20644,2025,3,0
20644,2025,4,0
20644,2026,1,0
20645,2022,3,8
20645,2022,4,6
20645,2023,1,2
20645,2023,2,3
20645,2023,3,4
20645,2023,4,9
20645,2024,1,10
20645,2024,2,2
20645,2024,3,6
20645,2024,4,8
20645,2025,1,4
20645,2025,2,2
20645,2025,3,1
20645,2025,4,3
20645,2026,1,4
20646,2022,3,70
20646,2022,4,62
20646,2023,1,76
20646,2023,2,76
20646,2023,3,68
20646,2023,4,78
20646,2024,1,83
20646,2024,2,67
20646,2024,3,103
20646,2024,4,105
20646,2025,1,119
20646,2025,2,120
20646,2025,3,131
20646,2025,4,166
20646,2026,1,99
20650,2022,3,19
20650,2022,4,13
20650,2023,1,24
20650,2023,2,22
20650,2023,3,38
20650,2023,4,32
20650,2024,1,20
20650,2024,2,17
20650,2024,3,24
20650,2024,4,19
20650,2025,1,26
20650,2025,2,19
20650,2025,3,32
20650,2025,4,23
20650,2026,1,24
20653,2022,3,66
20653,2022,4,77
20653,2023,1,91
20653,2023,2,64
20653,2023,3,87
20653,2023,4,80
20653,2024,1,94
20653,2024,2,70
20653,2024,3,104
20653,2024,4,110
20653,2025,1,103
20653,2025,2,98
20653,2025,3,120
20653,2025,4,138
20653,2026,1,69
20656,2022,3,1
20656,2022,4,3
20656,2023,1,0
20656,2023,2,0
20656,2023,3,4
20656,2023,4,1
20656,2024,1,0
20656,2024,2,1
20656,2024,3,1
20656,2024,4,0
20656,2025,1,0
20656,2025,2,0
20656,2025,3,4
20656,2025,4,1
20656,2026,1,1
20657,2022,3,125
20657,2022,4,99
20657,2023,1,130
20657,2023,2,99
20657,2023,3,103
20657,2023,4,106
20657,2024,1,125
20657,2024,2,131
20657,2024,3,122
20657,2024,4,165
20657,2025,1,161
20657,2025,2,140
20657,2025,3,156
20657,2025,4,167
20657,2026,1,114
20658,2022,3,2
20658,2022,4,4
20658,2023,1,9
20658,2023,2,2
20658,2023,3,3
20658,2023,4,8
20658,2024,1,4
20658,2024,2,7
20658,2024,3,4
20658,2024,4,8
20658,2025,1,4
20658,2025,2,7
20658,2025,3,5
20658,2025,4,6
20658,2026,1,4
20659,2022,3,76
20659,2022,4,85
20659,2023,1,97
20659,2023,2,66
20659,2023,3,78
20659,2023,4,88
20659,2024,1,86
20659,2024,2,76
20659,2024,3,71
20659,2024,4,77
20659,2025,1,108
20659,2025,2,88
20659,2025,3,85
20659,2025,4,119
20659,2026,1,72
20662,2022,3,14
20662,2022,4,4
20662,2023,1,7
20662,2023,2,10
20662,2023,3,9
20662,2023,4,11
20662,2024,1,10
20662,2024,2,8
20662,2024,3,9
20662,2024,4,13
20662,2025,1,11
20662,2025,2,14
20662,2025,3,7
20662,2025,4,12
20662,2026,1,13
20664,2022,3,5
20664,2022,4,11
20664,2023,1,10
20664,2023,2,11
20664,2023,3,14
20664,2023,4,12
20664,2024,1,11
20664,2024,2,15
20664,2024,3,17
20664,2024,4,11
20664,2025,1,23
20664,2025,2,18
20664,2025,3,18
20664,2025,4,24
20664,2026,1,13
20667,2022,3,1
20667,2022,4,1
20667,2023,1,1
20667,2023,2,3
20667,2023,3,0
20667,2023,4,6
20667,2024,1,2
20667,2024,2,1
20667,2024,3,0
20667,2024,4,0
20667,2025,1,2
20667,2025,2,2
20667,2025,3,1
20667,2025,4,0
20667,2026,1,0
20670,2022,3,0
20670,2022,4,0
20670,2023,1,0
20670,2023,2,0
20670,2023,3,0
20670,2023,4,0
20670,2024,1,0
20670,2024,2,0
20670,2024,3,0
20670,2024,4,0
20670,2025,1,0
20670,2025,2,0
20670,2025,3,0
20670,2025,4,0
20670,2026,1,0
20674,2022,3,1
20674,2022,4,2
20674,2023,1,2
20674,2023,2,3
20674,2023,3,1
20674,2023,4,1
20674,2024,1,1
20674,2024,2,4
20674,2024,3,2
20674,2024,4,4
20674,2025,1,4
20674,2025,2,1
20674,2025,3,6
20674,2025,4,6
20674,2026,1,6
20675,2022,3,4
20675,2022,4,5
20675,2023,1,15
20675,2023,2,4
20675,2023,3,6
20675,2023,4,6
20675,2024,1,8
20675,2024,2,6
20675,2024,3,5
20675,2024,4,4
20675,2025,1,9
20675,2025,2,2
20675,2025,3,5
20675,2025,4,8
20675,2026,1,6
20676,2022,3,15
20676,2022,4,22
20676,2023,1,12
20676,2023,2,9
20676,2023,3,11
20676,2023,4,5
20676,2024,1,10
20676,2024,2,8
20676,2024,3,10
20676,2024,4,13
20676,2025,1,16
20676,2025,2,16
20676,2025,3,12
20676,2025,4,16
20676,2026,1,17
20677,2022,3,4
20677,2022,4,4
20677,2023,1,8
20677,2023,2,11
20677,2023,3,11
20677,2023,4,6
20677,2024,1,5
20677,2024,2,11
20677,2024,3,6
20677,2024,4,4
20677,2025,1,14
20677,2025,2,5
20677,2025,3,7
20677,2025,4,14
20677,2026,1,4
20678,2022,3,45
20678,2022,4,55
20678,2023,1,55
20678,2023,2,51
20678,2023,3,49
20678,2023,4,57
20678,2024,1,48
20678,2024,2,58
20678,2024,3,34
20678,2024,4,54
20678,2025,1,65
20678,2025,2,38
20678,2025,3,43
20678,2025,4,58
20678,2026,1,38
20679,2022,3,0
20679,2022,4,0
20679,2023,1,0
20679,2023,2,0
20679,2023,3,0
20679,2023,4,0
20679,2024,1,0
20679,2024,2,0
20679,2024,3,0
20679,2024,4,0
20679,2025,1,0
20679,2025,2,1
20679,2025,3,0
20679,2025,4,0
20679,2026,1,0
20680,2022,3,1
20680,2022,4,3
20680,2023,1,1
20680,2023,2,3
20680,2023,3,4
20680,2023,4,2
20680,2024,1,1
20680,2024,2,2
20680,2024,3,2
20680,2024,4,2
20680,2025,1,8
20680,2025,2,6
20680,2025,3,7
20680,2025,4,2
20680,2026,1,3
20684,2022,3,1
20684,2022,4,1
20684,2023,1,3
20684,2023,2,0
20684,2023,3,2
20684,2023,4,2
20684,2024,1,0
20684,2024,2,1
20684,2024,3,4
20684,2024,4,3
20684,2025,1,5
20684,2025,2,4
20684,2025,3,2
20684,2025,4,0
20684,2026,1,3
20685,2022,3,33
20685,2022,4,29
20685,2023,1,31
20685,2023,2,26
20685,2023,3,17
20685,2023,4,21
20685,2024,1,22
20685,2024,2,37
20685,2024,3,31
20685,2024,4,23
20685,2025,1,42
20685,2025,2,41
20685,2025,3,38
20685,2025,4,39
20685,2026,1,30
20686,2022,3,0
20686,2022,4,0
20686,2023,1,0
20686,2023,2,0
20686,2023,3,0
20686,2023,4,0
20686,2024,1,0
20686,2024,2,0
20686,2024,3,0
20686,2024,4,0
20686,2025,1,0
20686,2025,2,0
20686,2025,3,0
20686,2025,4,0
20686,2026,1,0
20687,2022,3,0
20687,2022,4,3
20687,2023,1,0
20687,2023,2,0
20687,2023,3,4
20687,2023,4,2
20687,2024,1,0
20687,2024,2,2
20687,2024,3,0
20687,2024,4,3
20687,2025,1,2
20687,2025,2,2
20687,2025,3,3
20687,2025,4,1
20687,2026,1,2
20688,2022,3,0
20688,2022,4,2
20688,2023,1,5
20688,2023,2,5
20688,2023,3,4
20688,2023,4,9
20688,2024,1,5
20688,2024,2,7
20688,2024,3,5
20688,2024,4,2
20688,2025,1,5
20688,2025,2,2
20688,2025,3,4
20688,2025,4,0
20688,2026,1,1
20689,2022,3,8
20689,2022,4,9
20689,2023,1,10
20689,2023,2,8
20689,2023,3,8
20689,2023,4,6
20689,2024,1,11
20689,2024,2,10
20689,2024,3,10
20689,2024,4,8
20689,2025,1,3
20689,2025,2,5
20689,2025,3,9
20689,2025,4,9
20689,2026,1,5
20690,2022,3,4
20690,2022,4,0
20690,2023,1,1
20690,2023,2,1
20690,2023,3,9
20690,2023,4,10
20690,2024,1,4
20690,2024,2,3
20690,2024,3,3
20690,2024,4,7
20690,2025,1,3
20690,2025,2,5
20690,2025,3,5
20690,2025,4,5
20690,2026,1,4
20692,2022,3,0
20692,2022,4,2
20692,2023,1,1
20692,2023,2,1
20692,2023,3,0
20692,2023,4,1
20692,2024,1,1
20692,2024,2,0
20692,2024,3,1
20692,2024,4,1
20692,2025,1,0
20692,2025,2,0
20692,2025,3,1
20692,2025,4,1
20692,2026,1,0
20693,2022,3,2
20693,2022,4,1
20693,2023,1,2
20693,2023,2,2
20693,2023,3,3
20693,2023,4,3
20693,2024,1,3
20693,2024,2,7
20693,2024,3,4
20693,2024,4,4
20693,2025,1,3
20693,2025,2,9
20693,2025,3,8
20693,2025,4,3
20693,2026,1,6
20695,2022,3,100
20695,2022,4,107
20695,2023,1,118
20695,2023,2,100
20695,2023,3,111
20695,2023,4,92
20695,2024,1,131
20695,2024,2,135
20695,2024,3,158
20695,2024,4,143
20695,2025,1,178
20695,2025,2,161
20695,2025,3,162
20695,2025,4,192
20695,2026,1,168
20701,2022,3,0
20701,2022,4,0
20701,2023,1,0
20701,2023,2,0
20701,2023,3,0
20701,2023,4,0
20701,2024,1,0
20701,2024,2,0
20701,2024,3,0
20701,2024,4,0
20701,2025,1,0
20701,2025,2,0
20701,2025,3,0
20701,2025,4,0
20701,2026,1,0
20702,2022,3,0
20702,2022,4,0
20702,2023,1,0
20702,2023,2,0
20702,2023,3,0
20702,2023,4,0
20702,2024,1,0
20702,2024,2,0
20702,2024,3,0
20702,2024,4,0
20702,2025,1,0
20702,2025,2,0
20702,2025,3,0
20702,2025,4,0
20702,2026,1,0
20703,2022,3,0
20703,2022,4,0
20703,2023,1,1
20703,2023,2,0
20703,2023,3,0
20703,2023,4,0
20703,2024,1,0
20703,2024,2,0
20703,2024,3,0
20703,2024,4,0
20703,2025,1,0
20703,2025,2,0
20703,2025,3,0
20703,2025,4,0
20703,2026,1,0
20704,2022,3,0
20704,2022,4,0
20704,2023,1,0
20704,2023,2,0
20704,2023,3,0
20704,2023,4,0
20704,2024,1,0
20704,2024,2,0
20704,2024,3,0
20704,2024,4,0
20704,2025,1,0
20704,2025,2,0
20704,2025,3,0
20704,2025,4,0
20704,2026,1,0
20705,2022,3,84
20705,2022,4,95
20705,2023,1,125
20705,2023,2,95
20705,2023,3,93
20705,2023,4,87
20705,2024,1,116
20705,2024,2,97
20705,2024,3,101
20705,2024,4,106
20705,2025,1,109
20705,2025,2,111
20705,2025,3,105
20705,2025,4,111
20705,2026,1,81
20706,2022,3,182
20706,2022,4,185
20706,2023,1,206
20706,2023,2,164
20706,2023,3,167
20706,2023,4,141
20706,2024,1,224
20706,2024,2,210
20706,2024,3,226
20706,2024,4,229
20706,2025,1,264
20706,2025,2,210
20706,2025,3,232
20706,2025,4,232
20706,2026,1,180
20707,2022,3,100
20707,2022,4,96
20707,2023,1,118
20707,2023,2,102
20707,2023,3,108
20707,2023,4,98
20707,2024,1,120
20707,2024,2,127
20707,2024,3,140
20707,2024,4,138
20707,2025,1,151
20707,2025,2,151
20707,2025,3,151
20707,2025,4,197
20707,2026,1,122
20708,2022,3,45
20708,2022,4,40
20708,2023,1,52
20708,2023,2,43
20708,2023,3,48
20708,2023,4,46
20708,2024,1,64
20708,2024,2,55
20708,2024,3,56
20708,2024,4,85
20708,2025,1,58
20708,2025,2,61
20708,2025,3,73
20708,2025,4,78
20708,2026,1,71
20710,2022,3,16
20710,2022,4,15
20710,2023,1,11
20710,2023,2,17
20710,2023,3,16
20710,2023,4,14
20710,2024,1,20
20710,2024,2,14
20710,2024,3,19
20710,2024,4,22
20710,2025,1,22
20710,2025,2,15
20710,2025,3,18
20710,2025,4,21
20710,2026,1,14
20711,2022,3,2
20711,2022,4,2
20711,2023,1,7
20711,2023,2,5
20711,2023,3,8
20711,2023,4,4
20711,2024,1,10
20711,2024,2,12
20711,2024,3,16
20711,2024,4,5
20711,2025,1,8
20711,2025,2,8
20711,2025,3,9
20711,2025,4,10
20711,2026,1,3
20712,2022,3,5
20712,2022,4,9
20712,2023,1,10
20712,2023,2,12
20712,2023,3,12
20712,2023,4,4
20712,2024,1,17
20712,2024,2,14
20712,2024,3,16
20712,2024,4,11
20712,2025,1,15
20712,2025,2,7
20712,2025,3,12
20712,2025,4,16
20712,2026,1,5
20714,2022,3,15
20714,2022,4,12
20714,2023,1,20
20714,2023,2,9
20714,2023,3,22
20714,2023,4,13
20714,2024,1,23
20714,2024,2,11
20714,2024,3,7
20714,2024,4,11
20714,2025,1,14
20714,2025,2,18
20714,2025,3,14
20714,2025,4,24
20714,2026,1,22
20715,2022,3,88
20715,2022,4,86
20715,2023,1,115
20715,2023,2,68
20715,2023,3,75
20715,2023,4,82
20715,2024,1,94
20715,2024,2,91
20715,2024,3,126
20715,2024,4,109
20715,2025,1,120
20715,2025,2,102
20715,2025,3,141
20715,2025,4,153
20715,2026,1,107
20716,2022,3,81
20716,2022,4,94
20716,2023,1,132
20716,2023,2,99
20716,2023,3,103
20716,2023,4,94
20716,2024,1,152
20716,2024,2,108
20716,2024,3,157
20716,2024,4,134
20716,2025,1,153
20716,2025,2,148
20716,2025,3,165
20716,2025,4,180
20716,2026,1,149
20717,2022,3,0
20717,2022,4,0
20717,2023,1,0
20717,2023,2,0
20717,2023,3,0
20717,2023,4,0
20717,2024,1,0
20717,2024,2,0
20717,2024,3,0
20717,2024,4,0
20717,2025,1,0
20717,2025,2,0
20717,2025,3,0
20717,2025,4,0
20717,2026,1,0
20718,2022,3,0
20718,2022,4,0
20718,2023,1,0
20718,2023,2,0
20718,2023,3,0
20718,2023,4,0
20718,2024,1,0
20718,2024,2,0
20718,2024,3,0
20718,2024,4,0
20718,2025,1,0
20718,2025,2,0
20718,2025,3,0
20718,2025,4,0
20718,2026,1,0
20719,2022,3,0
20719,2022,4,0
20719,2023,1,0
20719,2023,2,0
20719,2023,3,0
20719,2023,4,0
20719,2024,1,0
20719,2024,2,0
20719,2024,3,0
20719,2024,4,0
20719,2025,1,0
20719,2025,2,0
20719,2025,3,0
20719,2025,4,0
20719,2026,1,0
20720,2022,3,92
20720,2022,4,95
20720,2023,1,137
20720,2023,2,116
20720,2023,3,94
20720,2023,4,95
20720,2024,1,121
20720,2024,2,112
20720,2024,3,147
20720,2024,4,139
20720,2025,1,120
20720,2025,2,137
20720,2025,3,160
20720,2025,4,168
20720,2026,1,128
20721,2022,3,127
20721,2022,4,138
20721,2023,1,168
20721,2023,2,178
20721,2023,3,165
20721,2023,4,168
20721,2024,1,186
20721,2024,2,190
20721,2024,3,204
20721,2024,4,210
20721,2025,1,208
20721,2025,2,216
20721,2025,3,234
20721,2025,4,254
20721,2026,1,160
20722,2022,3,18
20722,2022,4,23
20722,2023,1,34
20722,2023,2,16
20722,2023,3,21
20722,2023,4,23
20722,2024,1,26
20722,2024,2,26
20722,2024,3,20
20722,2024,4,31
20722,2025,1,36
20722,2025,2,40
20722,2025,3,43
20722,2025,4,32
20722,2026,1,27
20723,2022,3,61
20723,2022,4,65
20723,2023,1,86
20723,2023,2,75
20723,2023,3,61
20723,2023,4,65
20723,2024,1,66
20723,2024,2,72
20723,2024,3,89
20723,2024,4,108
20723,2025,1,88
20723,2025,2,85
20723,2025,3,93
20723,2025,4,100
20723,2026,1,83
20724,2022,3,53
20724,2022,4,50
20724,2023,1,66
20724,2023,2,42
20724,2023,3,61
20724,2023,4,63
20724,2024,1,81
20724,2024,2,73
20724,2024,3,77
20724,2024,4,87
20724,2025,1,103
20724,2025,2,91
20724,2025,3,94
20724,2025,4,103
20724,2026,1,69
20725,2022,3,0
20725,2022,4,0
20725,2023,1,0
20725,2023,2,0
20725,2023,3,0
20725,2023,4,0
20725,2024,1,0
20725,2024,2,0
20725,2024,3,0
20725,2024,4,0
20725,2025,1,0
20725,2025,2,0
20725,2025,3,0
20725,2025,4,0
20725,2026,1,0
20732,2022,3,41
20732,2022,4,30
20732,2023,1,49
20732,2023,2,35
20732,2023,3,39
20732,2023,4,33
20732,2024,1,48
20732,2024,2,47
20732,2024,3,52
20732,2024,4,53
20732,2025,1,47
20732,2025,2,42
20732,2025,3,51
20732,2025,4,55
20732,2026,1,42
20733,2022,3,6
20733,2022,4,12
20733,2023,1,8
20733,2023,2,5
20733,2023,3,6
20733,2023,4,4
20733,2024,1,14
20733,2024,2,9
20733,2024,3,8
20733,2024,4,14
20733,2025,1,10
20733,2025,2,14
20733,2025,3,17
20733,2025,4,18
20733,2026,1,15
20734,2022,3,1
